id_pilar,coord_x,coord_y,coord_z,pillar_area,geom_sing,geol_units_count,soft_veins_freq,traction_resist,strain_modulus,main_faults_count,xy_shear_strain,xz_shear_strain,yz_shear_strain,z_axis_pm_stress,z_axis_tz_stress,tz_exposure,seismic_density,extraction_rate,avg_drawpoint_height,collapse_flag
72,216.5263701264867,1233.7156742375394,1263,248.9047,1,1,3.07,0.184,13.13,1,9.996571963855421e-05,6.029275644578313e-05,1.2309844096385542e-05,9.838799,39.41038893575518,3.3333333333333335,71.88510414545368,126.815,268,0
73,230.3840011096853,1265.46599517298,1263,286.5643,0,1,3.07,0.184,13.13,0,7.182836722891566e-05,6.805599493975904e-05,1.2856484939759034e-06,10.133683,40.830647130440035,3.3333333333333335,65.60212530584529,129.718,269,0
74,244.2416320928839,1297.2163161084209,1263,248.9047,1,1,3.07,0.184,13.13,0,4.882880963855421e-05,8.680914409638554e-05,2.1387329427710842e-05,10.45085,42.19332796749953,3.6666666666666665,60.03071671589832,132.817,273,0
75,258.0992630760825,1328.9666370438615,1263,286.5643,0,1,3.07,0.184,13.13,0,3.3145136385542164e-05,0.00010356395530120481,5.145195662650602e-05,10.722946,43.882955391386055,3.6666666666666665,53.18414364986881,135.387,279,0
76,271.95689405928107,1360.7169579793022,1263,248.9047,1,1,3.07,0.184,13.13,0,4.5462407048192766e-05,0.00014131201204819276,9.556473132530119e-05,12.687071,50.11408986437225,25.666666666666668,48.0087997798022,136.789,282,0
77,156.14985611321976,1062.883684382666,1263,286.5643,0,2,1.02,0.245,15.47,1,0.00016298579424203823,2.301409956687898e-05,6.877460783439491e-05,10.252228,40.5520617916736,23.333333333333332,66.49729659952165,127.2,272,0
78,170.00748709641846,1094.6340053181068,1263,286.5643,0,1,2.2037999999999998,0.2182,14.3404,1,0.0001538189522891566,9.52884858433735e-06,4.935177072289156e-05,9.679259,38.86977399998442,1.3333333333333333,75.15769178848674,127.579,271,0
79,183.86511807961705,1126.3843262535474,1263,286.5643,0,1,3.07,0.184,13.13,1,0.00014872621662650603,3.21495134939759e-05,3.9672342168674697e-05,9.717836,39.215259403448115,1.6666666666666667,79.40967693923761,124.994,270,0
80,197.7227490628157,1158.1346471889883,1263,286.5643,0,2,3.07,0.184,13.13,1,0.00014421806430133657,4.738686225394897e-05,3.189409977521264e-05,10.151708,40.112016957477934,2.0,81.40829945405837,121.863,269,1
81,211.58038004601434,1189.884968124429,1263,286.5643,0,1,3.07,0.184,13.13,1,0.0001256808869879518,5.836158096385542e-05,1.4477879638554215e-05,9.497151,37.91513357835241,2.0,75.34121733801783,123.582,268,1
82,225.438011029213,1221.6352890598696,1263,286.5643,0,1,3.07,0.184,13.13,1,0.00011003425469879517,5.909807144578314e-05,1.014552643072289e-05,9.869248,39.610157621676045,2.3333333333333335,68.43186090570896,127.371,268,0
83,239.29564201241163,1253.3856099953102,1263,286.5643,0,1,3.07,0.184,13.13,0,8.684464903614457e-05,6.263566722891566e-05,3.7678406965214453e-06,10.147606,40.9320170757033,3.3333333333333335,62.45151519475495,129.801,270,1
84,253.15327299561022,1285.135930930751,1263,286.5643,0,1,3.07,0.184,13.13,0,6.573551819277108e-05,7.332121361445783e-05,1.1937429909638553e-05,10.400276,41.81402691282126,3.6666666666666665,57.07458762441426,133.336,273,1
85,267.01090397880887,1316.8862518661917,1263,286.5643,0,1,3.07,0.184,13.13,0,5.172846668674698e-05,8.888806819277108e-05,3.498738415662651e-05,10.633411,42.671173493944174,4.0,51.79807974190884,136.856,280,1
86,280.8685349620075,1348.6365728016324,1263,286.5643,0,1,3.07,0.184,13.13,0,4.936857144578313e-05,0.00011932580409638553,6.66485191566265e-05,11.713286,46.2742893242599,25.666666666666668,47.40974009177149,141.821,285,1
87,164.66460985728827,1051.3722704813301,1263,286.5643,0,2,0.756,0.30100000000000005,17.038,1,0.0001945327648083624,2.9346150139372827e-05,8.936590696864112e-05,10.815964,42.53883263301972,23.333333333333332,60.718027985787764,127.09,274,0
88,178.54882108712292,1083.086229754422,1263,286.5643,0,1,1.3011,0.24145000000000003,15.275800000000002,1,0.00016010603855421684,2.122617643072289e-06,5.166896228915662e-05,9.918813,38.99498462342623,23.333333333333332,67.96447501817549,128.829,272,0
89,192.43303231695745,1114.8001890275139,1263,250.498,0,1,3.07,0.184,13.13,1,0.00015451067759036143,2.6168096024096383e-05,3.974372319277108e-05,9.696451,39.01950247206664,1.6666666666666667,72.18996558890791,125.419,271,0
90,206.31724354679204,1146.5141483006055,1263,250.498,0,2,3.07,0.184,13.13,1,0.00014939701314702308,4.618410170109356e-05,3.0405210446537063e-05,10.250262,41.90204935094372,2.0,73.76940282878783,122.534,270,1
91,220.20145477662663,1178.2281075736976,1263,250.498,0,1,3.07,0.184,13.13,1,0.00013302336144578312,6.0276268072289156e-05,1.1360869668674699e-05,9.57448,38.28297519551377,2.3333333333333335,70.7167967701943,123.319,269,1
92,234.08566600646117,1209.9420668467892,1263,250.498,0,1,3.07,0.184,13.13,1,0.00011845976578313253,5.6030410843373486e-05,1.101753704819277e-05,9.825664,39.569933004894665,2.0,65.20012837257252,127.44,269,0
93,247.96987723629576,1241.656026119881,1263,250.498,0,1,3.07,0.184,13.13,1,0.00010024673855421685,5.8417054216867466e-05,4.486718117469879e-06,10.090741,40.423474564623184,3.3333333333333335,59.75296111428187,129.964,270,1
94,261.8540884661303,1273.369985392973,1263,250.498,0,1,3.07,0.184,13.13,0,8.120918975903614e-05,6.651369445783132e-05,7.328841325301204e-06,10.358648,41.61055564678549,4.0,54.90722316261075,133.478,273,1
95,275.7382996959649,1305.0839446660648,1263,250.498,0,1,3.07,0.184,13.13,0,6.193812120481927e-05,8.536546518072289e-05,2.928363060240964e-05,10.721687,43.19847188808943,4.0,50.51169843984918,137.41,280,1
96,289.6225109257994,1336.7979039391566,1263,250.498,0,1,3.07,0.184,13.13,0,5.7605327951807226e-05,9.92930586746988e-05,4.9792800722891563e-05,11.296876,44.64416674156439,25.666666666666668,46.872689376684505,144.507,287,1
97,303.506722155634,1368.5118632122483,1263,250.498,0,1,3.07,0.184,13.13,0,6.445567939759036e-05,0.0001628654139759036,8.912095590361446e-05,14.061935,55.748249417231136,25.666666666666668,44.111209983938856,145.477,286,0
98,187.28993621233838,1071.181085266104,1263,306.7354,0,1,0.9672000000000001,0.25620000000000004,15.783600000000002,1,0.0001632055734939759,6.532736664156626e-06,5.5846624457831324e-05,10.120948,39.69309928833334,23.333333333333332,63.16059605028573,130.094,273,0
99,201.17419744217295,1102.895131141736,1263,306.7354,0,1,2.4549999999999996,0.20229999999999998,13.832,1,0.0001614034718072289,1.9337813945783133e-05,4.162041024096385e-05,9.986063,39.53167359234593,1.6666666666666667,66.07337618750924,126.15,271,0
100,215.05845867200753,1134.6091770173682,1263,306.7354,0,2,3.07,0.184,13.13,1,0.00015502118277035238,4.181389264884569e-05,3.103590090522479e-05,10.373969,41.459991225857344,2.0,67.63346086315339,123.505,270,1
101,228.94271990184205,1166.3232228930005,1263,306.7354,0,1,3.07,0.184,13.13,1,0.00014602291710843373,4.561533331325301e-05,2.4008177891566262e-05,10.588387,40.47269959405155,2.3333333333333335,66.12198538438508,124.016,270,1
102,242.82698113167663,1198.0372687686327,1263,306.7354,0,1,3.07,0.184,13.13,1,0.00012668303614457832,5.498567560240963e-05,1.0082169111445782e-05,9.897721,40.01910735106674,2.3333333333333335,62.123494027135365,127.401,270,0
103,256.71124236151115,1229.751314644265,1263,306.7354,0,1,3.07,0.184,13.13,1,0.00010939675325301204,5.738362969879518e-05,5.643350692771084e-06,10.103796,40.42970153673165,2.3333333333333335,57.49894633427373,130.102,271,1
104,270.59550359134573,1261.465360519897,1263,306.7354,0,1,3.07,0.184,13.13,0,9.166140012048193e-05,6.294523120481927e-05,3.777538456325301e-06,10.407322,42.219622822575865,3.3333333333333335,53.084617914379756,133.168,274,1
105,284.4797648211803,1293.1794063955292,1263,306.7354,0,1,3.07,0.184,13.13,0,7.693034843373493e-05,7.22096686746988e-05,1.7099547560240964e-05,10.591489,42.78118975864864,3.6666666666666665,49.339444614669326,137.581,280,1
106,298.36402605101483,1324.8934522711616,1263,306.7354,0,1,3.07,0.184,13.13,0,6.220169999999999e-05,8.86012653012048e-05,3.866229608433735e-05,11.025448,44.106325242454496,4.333333333333333,46.39049019474135,144.976,288,1
107,312.2482872808494,1356.6074981467937,1263,306.7354,0,1,3.07,0.184,13.13,0,6.230220301204819e-05,0.00014489415253012046,7.267784e-05,12.969192,51.16938694654584,25.666666666666668,44.221844637579,148.749,289,0
108,326.13254851068393,1388.3215440224258,1263,306.7354,0,1,3.07,0.184,13.13,0,5.934920771084337e-05,0.00024346650722891562,0.00010013606397590361,17.240986,67.64484353227014,25.666666666666668,42.574980905264475,146.857,282,0
109,196.53136231788176,1058.6797048152985,1263,248.9047,1,1,0.624,0.32899999999999996,17.822000000000003,1,0.00016168321927710844,1.916516006024096e-05,6.379351337349397e-05,10.379656,40.69147714004223,23.333333333333332,57.44551413906879,130.257,274,0
110,210.38969592902464,1090.4290427380374,1263,295.0845,0,1,1.2865,0.23707,15.1658,1,0.0001660360322891566,1.192524093373494e-05,4.296396831325301e-05,10.085558,39.422335386370456,3.0,60.85739258275216,127.094,272,0
111,224.24802954016758,1122.1783806607766,1263,248.9047,1,1,2.8531999999999997,0.20008,13.6308,1,0.00015928362626506024,3.689095897590362e-05,3.1357983373493974e-05,10.503823,41.97175847134902,3.0,62.482454155242195,124.195,271,1
112,238.10636315131052,1153.9277185835158,1263,295.0845,0,2,3.07,0.184,13.13,1,0.0001530828957351509,4.512966597857837e-05,2.4028383972736118e-05,10.668747,43.54600558368457,3.3333333333333335,61.8019635744155,124.603,270,1
113,251.96469676245346,1185.6770565062548,1263,248.9047,1,1,3.07,0.184,13.13,1,0.00013466149807228915,5.48181056626506e-05,9.025314713855422e-06,9.989779,40.004633939153905,3.6666666666666665,58.99404165864079,127.862,270,1
114,265.8230303735964,1217.426394428994,1263,295.0845,0,1,3.07,0.184,13.13,1,0.00011872544650602409,5.6145965421686745e-05,5.426154864457831e-06,10.208138,40.927734342751414,3.6666666666666665,55.385227619702334,130.231,271,1
